ID,Title,Singer,Year,Lyricist,Lyrics,Status,
1986-001,當年情,張國榮,1986,黃霑,"輕輕笑聲 在爲我送溫暖
你爲我注入快樂強電
輕輕說聲 漫長路快要走過
終於走到明媚晴天

聲聲歡呼躍起 像紅日發放金箭
我伴你往日笑面重現
輕輕叫聲 共擡望眼看高空
終於青天優美爲你獻

擁着你 當初溫馨再湧現
心裏邊 童年稚氣夢未污染
今日我 與你又試肩並肩
當年情 此刻是添上新鮮

歡呼躍起 像紅日發放金箭
我伴你往日笑面重現
輕輕叫聲 共擡望眼看高空
終於青天優美爲你獻

擁着你 當初溫馨再湧現
心裏邊 童年稚氣夢未污染
今日我 與你又試肩並肩
當年情 此刻是添上新鮮

一望你 眼裏溫馨已通電
心裏邊 從前夢一點未改變
今日我 與你又試肩並肩
當年情 再度添上新鮮",matched,
1986-002,有誰共鳴,張國榮,1986,小美,"擡頭望星空一片靜 我獨行 夜雨漸停
無言是此刻的冷靜 笑問誰 肝膽照應

風急風也清 告知變幻是無定
未明是我苦笑卻未停
不信命 只信雙手去苦拼
矛盾是無力去暫停
可會知 我心裏睏倦滿腔
夜闌靜 問有誰共鳴

從前是天真不冷靜 愛自由 或會忘形
明白是得失總有定 去或留輕鬆對應

孤單中顫抖 可知我實在難受
問誰願意失去了自由 想退後
心裏知足我擁有 前去亦全力去尋求

風也清 晚空中我問句星
夜闌靜 問有誰共鳴",matched,
1986-003,朋友,譚詠麟,1986,向雪懷,"繁星流動和你同路
從不相識開始心接近
默默以真摯待人 人生如夢朋友如霧
難得知心幾經風暴
爲着我不退半步
正是你
遙遙晚空點點星光息息相關
你我那怕荊棘鋪滿路
替我解開心中的孤單
是誰明白我
情同兩手一起開心一起悲傷
彼此分擔總不分我或你
你爲了我 我爲了你
共赴患難絕望裏緊握你手
朋友",matched,
1986-004,無言感激,譚詠麟,1986,小美,"每次遇上夜靜沒法去入睡
最愛看舊照舊物或會悄落淚
彷彿像從前的歡笑
過去落寞的眼淚 再緬懷內裏血汗水

偶爾倦透倦極或會說負累
每每唸到是熱愛卻伴聚
歡呼聲時常衝擊我 教我踏步不畏懼
縱有困難亦要拼命追

歲月無聲消逝 歡呼中不會醉
得到了我會繼續進取
信念藏於心內 感激暖暖熱愛
即使我有淚笑着強忍

愛上了夜裏靜悄像透似熟睡
最愛笑但最是害怕假面具
心坎中無形的鬱結
也有熱淚想下垂 卻倒流換上血汗水

歲月無聲消逝 講一聲真愛你
歌聲裏竭力獻盡每分
信念藏於心內 感激千千百句
即使我有淚笑着強忍",matched,
1986-005,幾許風雨,羅文,1986,林夕,"無言輕倚窗邊 凝望雨勢急也亂
似個瘋漢 滿肚鬱結 怒罵着厭倦

徐徐呼出菸圈 回望以往的片段
幾許風雨 我也經過 屹立到目前

一生之中誰沒痛苦 得失少不免
看透世態每種風雨 披身打我面
身處高峯 嚐盡雨絲 輕風的加冕
偶爾碰上了急風 步伐末凌亂
心底之中知分寸 得失差一線
披荊斬棘的挑戰 光輝不眷戀

悠然想起當天 無盡冷眼加嘴臉
正似風雨 每每改變 現實盡體驗
無求一生光輝 唯望抖志不會斷
見慣風雨 見慣改變 盡視作自然

悠然推窗觀天 雲漸散去星再現
雨線飄斷 似我的臉 熱淚聚滿面
然而不死春天 全賴暖意不間斷
似你的臉 叫我溫暖 伴着我步前",matched,
1986-006,夢伴,梅艷芳,1986,林敏驄,"煤氣燈不禁影照 街裏一對蚯蚓
照過以倆心相親 一對小情人
沉默以擁吻抵抗
一切的冰與冷 晚意借北風
輕輕的飄起長長裙 多溫馨(心裏) 
風中那笑聲(淌淚) 

嚐盡了失意的我 將一切都褪去
再到這風中心中 竟仿似傷痕累累
然後再憶記起
當晚跟你在這裏 相依相擁中
交出的心早已失去(失去)(已破碎)  
不可以再追 (灑淚) 

今天今天星閃閃
剩下我北風中 漆黑中帶着淚
念當天當天 跟他一起的每天
今天今天星閃閃
剩下我漆黑中 北風中帶淚悼念
當天的心歡欣 再也再也再也不見
一切已失去 不可以再追

一切已失去 不可以再追
一切已失去",matched,
1986-007,將冰山劈開,梅艷芳,1986,向雪懷,"午夜期待 你未存在
灼熱難耐 又冷漠無奈

冰結在外 火卻在內
我難忍耐 再沉苦海

想把冰山變改
無謂再抑壓心底愛
冰山有災 請把冰山劈開
能讓你舒發心底愛
冰山鑽開劈開救災
不應將愛心掩蓋
火速救災 請把冰山劈開
你午夜莫期待

我在牆內 你在牆外
心雖剖宰 但信念仍在

我難忍耐 再沉苦海

無謂再抑壓心底愛
無謂再抑壓心底愛
無謂再抑壓心底愛",matched,
1986-008,絕對空虛,蔡楓華,1986,林振強,"夜店一個角落里 獨坐以黑暗作伴侶
隔數張台那處 是對年青愛侶
夜店此際正在播 舊日你喜歡哼的歌
碎了的心再碎 獨跌坐失意里
閉起眼睛想過去
絕對空虛
無人觸摸似廢堆
絕對空虛
情人這晚你屬誰
仍然是愛你 從沒怪你
愛你是永沒年期
仍是愛你 然而沒有你
世界頓變了乏味
但願我沒往昔 但願我沒記憶
永不想你

夜店一個角落里 獨坐以黑暗作伴侶
隔數張台那處 是對年青愛侶
夜店此際正在播 舊日你喜歡哼的歌
碎了的心再碎 獨跌坐失意里
閉起眼睛想過去
絕對空虛
無人觸摸似廢堆
絕對空虛
情人這晚你屬誰
仍然是愛你 從沒怪你
愛你是永沒年期
仍是愛你 然而沒有你
世界頓變了乏味
但願我沒往昔 但願我沒記憶
永不想你
絕對空虛
無人觸摸似廢堆
絕對空虛
情人這晚你屬誰
仍然是愛你 從沒怪你
愛你是永沒年期
仍是愛你 然而沒有你
世界頓變了乏味
但願我沒往昔 但願我沒記憶
永不想你",google,
1986-009,千個太陽,葉德嫻、陳潔靈,1986,林振強,"輕輕笑聲 在爲我送溫暖
你爲我注入快樂強電
輕輕說聲 漫長路快要走過
終於走到明媚晴天

聲聲歡呼躍起 像紅日發放金箭
我伴你往日笑面重現
輕輕叫聲 共擡望眼看高空
終於青天優美爲你獻

擁着你 當初溫馨再湧現
心裏邊 童年稚氣夢未污染
今日我 與你又試肩並肩
當年情 此刻是添上新鮮

歡呼躍起 像紅日發放金箭
我伴你往日笑面重現
輕輕叫聲 共擡望眼看高空
終於青天優美爲你獻

擁着你 當初溫馨再湧現
心裏邊 童年稚氣夢未污染
今日我 與你又試肩並肩
當年情 此刻是添上新鮮

一望你 眼裏溫馨已通電
心裏邊 從前夢一點未改變
今日我 與你又試肩並肩
當年情 再度添上新鮮",matched,
1986-010,傷感的戀人,黃凱芹,1986,黃凱芹,"風中雨點 沾濕了身
長夜已降臨 延續了苦困
不知道原因 只想再等
然後你飄至 仍帶來傷感

擠熄了煙 滿腦疑問
顫抖中親吻 凝望你轉身
不追究原因 慨嘆緣份
然後你飄遠 投入誰的心

冷風一般的你 沒法讓我親近
熱暖着你的心
那可以封鎖你 願你待我認真
就算夜裏風吹凜凜",matched,
1986-011,陪著你走,盧冠廷,1986,唐書琛,"誰說時間片刻會變舊
全爲我分秒都停留
只因 身邊有你緊握我的手

這份愛誰說永不會長久
陪着你一生到白頭
就能 讓心中星星閃到永久

陪着你走 一生一世也不分
我的心伴着你的心
越千山過萬水

如果 走到世界的盡頭
我倆已是無法前行
跟我一起飛去
跟我一起飛去",matched,
