Title,Singer,Year
"當年情","張國榮",1986
"有誰共鳴","張國榮",1986
"朋友","譚詠麟",1986
"無言感激","譚詠麟",1986
"幾許風雨","羅文",1986
"夢伴","梅艷芳",1986
"將冰山劈開","梅艷芳",1986
"絕對空虛","蔡楓華",1986
"千個太陽","葉德嫻、陳潔靈",1986
"傷感的戀人","黃凱芹",1986
"陪著你走","盧冠廷",1986
"遙遠的她","張學友",1986
"月半彎","張學友",1986
"妖女","梅艷芳",1986
"黑色午夜","張國榮",1986
"凝望","陳百強",1986
"誰令你心痴","張國榮、陳潔靈",1986
"第一滴淚","譚詠麟",1986
"痴心的我","張國榮",1986
"壞女孩","梅艷芳",1986
"只有情永在","張學友、鄺美雲",1986
"迷途","太極",1986
"吸煙的女人","Raidas",1986
"珍重","葉蒨文",1986
"跳舞街","陳慧嫻",1986
"太陽星辰","張學友",1987
"秋意中等我","劉德華、吳婉芳",1987
"知心當玩偶","譚詠麟",1987
"烈燄紅唇","梅艷芳",1987
"灰色","林憶蓮",1987
"石頭記","達明一派",1987
"無心睡眠","張國榮",1987
"似火探戈","梅艷芳",1987
"痴心眼內藏","陳百強",1987
"傾心","Raidas",1987
"傳說","Raidas",1987
"共同渡過","張國榮",1987
"倩女幽魂","張國榮",1987
"黎明不要來","葉蒨文",1987
"甜言蜜語","葉蒨文",1987
"蔓珠莎華","梅艷芳",1987
"激情","林憶蓮",1987
"早晨","林憶蓮",1987
"誠懇","鍾鎮濤",1987
"無邊的思憶","譚詠麟",1987
"冰封的心","陳百強",1987
"海誓山盟","林子祥",1987
"敢愛敢做","林子祥",1987
"祝福","葉蒨文",1988
"傻女","陳慧嫻",1988
"千載不變","溫拿",1988
"沉默是金","張國榮、許冠傑",1988
"真的漢子","林子祥",1988
"胭脂扣","梅艷芳",1988
"貼身","張國榮",1988
"Stand By Me","梅艷芳",1988
"交織千個心","許冠傑",1988
"滴汗","林憶蓮",1988
"講多錯多","林憶蓮",1988
"結他低泣時","夏韶聲",1988
"夢裡共醉","梅艷芳",1988
"人生何處不相逢","陳慧嫻",1988
"公子多情","劉美君",1988
"可能","王傑",1988
